"Temperature","ids","Points:0","Points:1","Points:2"
20.1,1,0.201,0.5,0
20.2,1,0.202,0.5,0
20.3,1,0.203,0.5,0
20.4,1,0.204,0.5,0
20.5,1,0.205,0.5,0
20.6,1,0.206,0.5,0
20.7,1,0.207,0.5,0
20.8,1,0.208,0.5,0
20.9,1,0.209,0.5,0
21,1,0.21,0.5,0
21.1,1,0.211,0.5,0
21.2,1,0.212,0.5,0
21.3,1,0.213,0.5,0
21.4,1,0.214,0.5,0
21.5,1,0.215,0.5,0
21.6,1,0.216,0.5,0
21.7,1,0.217,0.5,0
21.8,1,0.218,0.5,0
21.9,1,0.219,0.5,0
22,1,0.22,0.5,0
22.1,1,0.221,0.5,0
22.2,1,0.222,0.5,0
22.3,1,0.223,0.5,0
22.4,1,0.224,0.5,0
22.5,1,0.225,0.5,0
22.6,1,0.226,0.5,0
22.7,1,0.227,0.5,0
22.8,1,0.228,0.5,0
22.9,1,0.229,0.5,0
23,1,0.23,0.5,0
23.1,1,0.231,0.5,0
23.2,1,0.232,0.5,0
23.3,1,0.233,0.5,0
23.4,1,0.234,0.5,0
23.5,1,0.235,0.5,0
23.6,1,0.236,0.5,0
23.7,1,0.237,0.5,0
23.8,1,0.238,0.5,0
23.9,1,0.239,0.5,0
24,1,0.24,0.5,0
24.1,1,0.241,0.5,0
24.2,1,0.242,0.5,0
24.3,1,0.243,0.5,0
24.4,1,0.244,0.5,0
24.5,1,0.245,0.5,0
24.6,1,0.246,0.5,0
24.7,1,0.247,0.5,0
24.8,1,0.248,0.5,0
24.9,1,0.249,0.5,0
25,1,0.25,0.5,0
25.1,1,0.251,0.5,0
25.2,1,0.252,0.5,0
25.3,1,0.253,0.5,0
25.4,1,0.254,0.5,0
25.5,1,0.255,0.5,0
25.6,1,0.256,0.5,0
25.7,1,0.257,0.5,0
25.8,1,0.258,0.5,0
25.9,1,0.259,0.5,0
26,1,0.26,0.5,0
26.1,1,0.261,0.5,0
26.2,1,0.262,0.5,0
26.3,1,0.263,0.5,0
26.4,1,0.264,0.5,0
26.5,1,0.265,0.5,0
26.6,1,0.266,0.5,0
26.7,1,0.267,0.5,0
26.8,1,0.268,0.5,0
26.9,1,0.269,0.5,0
27,1,0.27,0.5,0
27.1,1,0.271,0.5,0
27.2,1,0.272,0.5,0
27.3,1,0.273,0.5,0
27.4,1,0.274,0.5,0
27.5,1,0.275,0.5,0
27.6,1,0.276,0.5,0
27.7,1,0.277,0.5,0
27.8,1,0.278,0.5,0
27.9,1,0.279,0.5,0
28,1,0.28,0.5,0
28.1,1,0.281,0.5,0
28.2,1,0.282,0.5,0
28.3,1,0.283,0.5,0
28.4,1,0.284,0.5,0
28.5,1,0.285,0.5,0
28.6,1,0.286,0.5,0
28.7,1,0.287,0.5,0
28.8,1,0.288,0.5,0
28.9,1,0.289,0.5,0
29,1,0.29,0.5,0
29.1,1,0.291,0.5,0
29.2,1,0.292,0.5,0
29.3,1,0.293,0.5,0
29.4,1,0.294,0.5,0
29.5,1,0.295,0.5,0
29.6,1,0.296,0.5,0
29.7,1,0.297,0.5,0
29.8,1,0.298,0.5,0
29.9,1,0.299,0.5,0
30,1,0.3,0.5,0
30.1,1,0.301,0.5,0
30.2,1,0.302,0.5,0
30.3,1,0.303,0.5,0
30.4,1,0.304,0.5,0
30.5,1,0.305,0.5,0
30.6,1,0.306,0.5,0
30.7,1,0.307,0.5,0
30.8,1,0.308,0.5,0
30.9,1,0.309,0.5,0
31,1,0.31,0.5,0
31.1,1,0.311,0.5,0
31.2,1,0.312,0.5,0
31.3,1,0.313,0.5,0
31.4,1,0.314,0.5,0
31.5,1,0.315,0.5,0
31.6,1,0.316,0.5,0
31.7,1,0.317,0.5,0
31.8,1,0.318,0.5,0
31.9,1,0.319,0.5,0
32,1,0.32,0.5,0
32.1,1,0.321,0.5,0
32.2,1,0.322,0.5,0
32.3,1,0.323,0.5,0
32.4,1,0.324,0.5,0
32.5,1,0.325,0.5,0
32.6,1,0.326,0.5,0
32.7,1,0.327,0.5,0
32.8,1,0.328,0.5,0
32.9,1,0.329,0.5,0
33,1,0.33,0.5,0
33.1,1,0.331,0.5,0
33.2,1,0.332,0.5,0
33.3,1,0.333,0.5,0
33.4,1,0.334,0.5,0
33.5,1,0.335,0.5,0
33.6,1,0.336,0.5,0
33.7,1,0.337,0.5,0
33.8,1,0.338,0.5,0
33.9,1,0.339,0.5,0
34,1,0.34,0.5,0
34.1,1,0.341,0.5,0
34.2,1,0.342,0.5,0
34.3,1,0.343,0.5,0
34.4,1,0.344,0.5,0
34.5,1,0.345,0.5,0
34.6,1,0.346,0.5,0
34.7,1,0.347,0.5,0
34.8,1,0.348,0.5,0
34.9,1,0.349,0.5,0
35,1,0.35,0.5,0
35.1,1,0.351,0.5,0
35.2,1,0.352,0.5,0
35.3,1,0.353,0.5,0
35.4,1,0.354,0.5,0
35.5,1,0.355,0.5,0
35.6,1,0.356,0.5,0
35.7,1,0.357,0.5,0
35.8,1,0.358,0.5,0
35.9,1,0.359,0.5,0
36,1,0.36,0.5,0
36.1,1,0.361,0.5,0
36.2,1,0.362,0.5,0
36.3,1,0.363,0.5,0
36.4,1,0.364,0.5,0
36.5,1,0.365,0.5,0
36.6,1,0.366,0.5,0
36.7,1,0.367,0.5,0
36.8,1,0.368,0.5,0
36.9,1,0.369,0.5,0
37,1,0.37,0.5,0
37.1,1,0.371,0.5,0
37.2,1,0.372,0.5,0
37.3,1,0.373,0.5,0
37.4,1,0.374,0.5,0
37.5,1,0.375,0.5,0
37.6,1,0.376,0.5,0
37.7,1,0.377,0.5,0
37.8,1,0.378,0.5,0
37.9,1,0.379,0.5,0
38,1,0.38,0.5,0
38.1,1,0.381,0.5,0
38.2,1,0.382,0.5,0
38.3,1,0.383,0.5,0
38.4,1,0.384,0.5,0
38.5,1,0.385,0.5,0
38.6,1,0.386,0.5,0
38.7,1,0.387,0.5,0
38.8,1,0.388,0.5,0
38.9,1,0.389,0.5,0
39,1,0.39,0.5,0
39.1,1,0.391,0.5,0
39.2,1,0.392,0.5,0
39.3,1,0.393,0.5,0
39.4,1,0.394,0.5,0
39.5,1,0.395,0.5,0
39.6,1,0.396,0.5,0
39.7,1,0.397,0.5,0
39.8,1,0.398,0.5,0
39.9,1,0.399,0.5,0
40,1,0.4,0.5,0
40.1,1,0.401,0.5,0
40.2,1,0.402,0.5,0
40.3,1,0.403,0.5,0
40.4,1,0.404,0.5,0
40.5,1,0.405,0.5,0
40.6,1,0.406,0.5,0
40.7,1,0.407,0.5,0
40.8,1,0.408,0.5,0
40.9,1,0.409,0.5,0
41,1,0.41,0.5,0
41.1,1,0.411,0.5,0
41.2,1,0.412,0.5,0
41.3,1,0.413,0.5,0
41.4,1,0.414,0.5,0
41.5,1,0.415,0.5,0
41.6,1,0.416,0.5,0
41.7,1,0.417,0.5,0
41.8,1,0.418,0.5,0
41.9,1,0.419,0.5,0
42,1,0.42,0.5,0
42.1,1,0.421,0.5,0
42.2,1,0.422,0.5,0
42.3,1,0.423,0.5,0
42.4,1,0.424,0.5,0
42.5,1,0.425,0.5,0
42.6,1,0.426,0.5,0
42.7,1,0.427,0.5,0
42.8,1,0.428,0.5,0
42.9,1,0.429,0.5,0
43,1,0.43,0.5,0
43.1,1,0.431,0.5,0
43.2,1,0.432,0.5,0
43.3,1,0.433,0.5,0
43.4,1,0.434,0.5,0
43.5,1,0.435,0.5,0
43.6,1,0.436,0.5,0
43.7,1,0.437,0.5,0
43.8,1,0.438,0.5,0
43.9,1,0.439,0.5,0
44,1,0.44,0.5,0
44.1,1,0.441,0.5,0
44.2,1,0.442,0.5,0
44.3,1,0.443,0.5,0
44.4,1,0.444,0.5,0
44.5,1,0.445,0.5,0
44.6,1,0.446,0.5,0
44.7,1,0.447,0.5,0
44.8,1,0.448,0.5,0
44.9,1,0.449,0.5,0
45,1,0.45,0.5,0
45.1,1,0.451,0.5,0
45.2,1,0.452,0.5,0
45.3,1,0.453,0.5,0
45.4,1,0.454,0.5,0
45.5,1,0.455,0.5,0
45.6,1,0.456,0.5,0
45.7,1,0.457,0.5,0
45.8,1,0.458,0.5,0
45.9,1,0.459,0.5,0
46,1,0.46,0.5,0
46.1,1,0.461,0.5,0
46.2,1,0.462,0.5,0
46.3,1,0.463,0.5,0
46.4,1,0.464,0.5,0
46.5,1,0.465,0.5,0
46.6,1,0.466,0.5,0
46.7,1,0.467,0.5,0
46.8,1,0.468,0.5,0
46.9,1,0.469,0.5,0
47,1,0.47,0.5,0
47.1,1,0.471,0.5,0
47.2,1,0.472,0.5,0
47.3,1,0.473,0.5,0
47.4,1,0.474,0.5,0
47.5,1,0.475,0.5,0
47.6,1,0.476,0.5,0
47.7,1,0.477,0.5,0
47.8,1,0.478,0.5,0
47.9,1,0.479,0.5,0
48,1,0.48,0.5,0
48.1,1,0.481,0.5,0
48.2,1,0.482,0.5,0
48.3,1,0.483,0.5,0
48.4,1,0.484,0.5,0
48.5,1,0.485,0.5,0
48.6,1,0.486,0.5,0
48.7,1,0.487,0.5,0
48.8,1,0.488,0.5,0
48.9,1,0.489,0.5,0
49,1,0.49,0.5,0
49.1,1,0.491,0.5,0
49.2,1,0.492,0.5,0
49.3,1,0.493,0.5,0
49.4,1,0.494,0.5,0
49.5,1,0.495,0.5,0
49.6,1,0.496,0.5,0
49.7,1,0.497,0.5,0
49.8,1,0.498,0.5,0
49.9,1,0.499,0.5,0
50,1,0.5,0.5,0
50.1,1,0.501,0.5,0
50.2,1,0.502,0.5,0
50.3,1,0.503,0.5,0
50.4,1,0.504,0.5,0
50.5,1,0.505,0.5,0
50.6,1,0.506,0.5,0
50.7,1,0.507,0.5,0
50.8,1,0.508,0.5,0
50.9,1,0.509,0.5,0
51,1,0.51,0.5,0
51.1,1,0.511,0.5,0
