Temperature,Points:0,Points:1,Points:2
0.074081,0.5,0.202,0
0.074537,0.5,0.203,0
0.074993,0.5,0.204,0
0.075449,0.5,0.205,0
0.075905,0.5,0.206,0
0.076361,0.5,0.207,0
0.076817,0.5,0.208,0
0.077273,0.5,0.209,0
0.077729,0.5,0.21,0
0.078185,0.5,0.211,0
0.078641,0.5,0.212,0
0.079097,0.5,0.213,0
0.079553,0.5,0.214,0
0.080009,0.5,0.215,0
0.080464,0.5,0.216,0
0.08092,0.5,0.217,0
0.081376,0.5,0.218,0
0.081832,0.5,0.219,0
0.082288,0.5,0.22,0
0.082744,0.5,0.221,0
0.0832,0.5,0.222,0
0.083656,0.5,0.223,0
0.084112,0.5,0.224,0
0.084568,0.5,0.225,0
0.085024,0.5,0.226,0
0.08548,0.5,0.227,0
0.085936,0.5,0.228,0
0.086392,0.5,0.229,0
0.086848,0.5,0.23,0
0.087304,0.5,0.231,0
0.08776,0.5,0.232,0
0.088216,0.5,0.233,0
0.088672,0.5,0.234,0
0.089128,0.5,0.235,0
0.089584,0.5,0.236,0
0.09004,0.5,0.237,0
0.090495,0.5,0.238,0
0.090951,0.5,0.239,0
0.091407,0.5,0.24,0
0.091863,0.5,0.241,0
0.092319,0.5,0.242,0
0.092775,0.5,0.243,0
0.093231,0.5,0.244,0
0.093687,0.5,0.245,0
0.094143,0.5,0.246,0
0.094599,0.5,0.247,0
0.095055,0.5,0.248,0
0.095511,0.5,0.249,0
0.095967,0.5,0.25,0
0.096423,0.5,0.251,0
0.096879,0.5,0.252,0
0.097335,0.5,0.253,0
0.097791,0.5,0.254,0
0.098247,0.5,0.255,0
0.098703,0.5,0.256,0
0.099159,0.5,0.257,0
0.099615,0.5,0.258,0
0.10007,0.5,0.259,0
0.10053,0.5,0.26,0
0.10098,0.5,0.261,0
0.10144,0.5,0.262,0
0.10189,0.5,0.263,0
0.10235,0.5,0.264,0
0.10281,0.5,0.265,0
0.10326,0.5,0.266,0
0.10372,0.5,0.267,0
0.10417,0.5,0.268,0
0.10463,0.5,0.269,0
0.10509,0.5,0.27,0
0.10554,0.5,0.271,0
0.106,0.5,0.272,0
0.10645,0.5,0.273,0
0.10691,0.5,0.274,0
0.10737,0.5,0.275,0
0.10782,0.5,0.276,0
0.10828,0.5,0.277,0
0.10873,0.5,0.278,0
0.10919,0.5,0.279,0
0.10965,0.5,0.28,0
0.1101,0.5,0.281,0
0.11056,0.5,0.282,0
0.11101,0.5,0.283,0
0.11147,0.5,0.284,0
0.11193,0.5,0.285,0
0.11238,0.5,0.286,0
0.11284,0.5,0.287,0
0.11329,0.5,0.288,0
0.11375,0.5,0.289,0
0.11421,0.5,0.29,0
0.11466,0.5,0.291,0
0.11512,0.5,0.292,0
0.11557,0.5,0.293,0
0.11603,0.5,0.294,0
0.11648,0.5,0.295,0
0.11694,0.5,0.296,0
0.1174,0.5,0.297,0
0.11785,0.5,0.298,0
0.11831,0.5,0.299,0
0.11876,0.5,0.3,0
0.11934,0.5,0.301,0
0.11991,0.5,0.302,0
0.12048,0.5,0.303,0
0.12105,0.5,0.304,0
0.12163,0.5,0.305,0
0.1222,0.5,0.306,0
0.12277,0.5,0.307,0
0.12334,0.5,0.308,0
0.12392,0.5,0.309,0
0.12449,0.5,0.31,0
0.12506,0.5,0.311,0
0.12563,0.5,0.312,0
0.12621,0.5,0.313,0
0.12678,0.5,0.314,0
0.12735,0.5,0.315,0
0.12792,0.5,0.316,0
0.12849,0.5,0.317,0
0.12907,0.5,0.318,0
0.12964,0.5,0.319,0
0.13021,0.5,0.32,0
0.13078,0.5,0.321,0
0.13136,0.5,0.322,0
0.13193,0.5,0.323,0
0.1325,0.5,0.324,0
0.13307,0.5,0.325,0
0.13365,0.5,0.326,0
0.13422,0.5,0.327,0
0.13479,0.5,0.328,0
0.13536,0.5,0.329,0
0.13594,0.5,0.33,0
0.13651,0.5,0.331,0
0.13708,0.5,0.332,0
0.13765,0.5,0.333,0
0.13822,0.5,0.334,0
0.1388,0.5,0.335,0
0.13937,0.5,0.336,0
0.13994,0.5,0.337,0
0.14051,0.5,0.338,0
0.14109,0.5,0.339,0
0.14166,0.5,0.34,0
0.14223,0.5,0.341,0
0.1428,0.5,0.342,0
0.14338,0.5,0.343,0
0.14395,0.5,0.344,0
0.14452,0.5,0.345,0
0.14509,0.5,0.346,0
0.14567,0.5,0.347,0
0.14624,0.5,0.348,0
0.14681,0.5,0.349,0
0.14738,0.5,0.35,0
0.14795,0.5,0.351,0
0.14853,0.5,0.352,0
0.1491,0.5,0.353,0
0.14967,0.5,0.354,0
0.15024,0.5,0.355,0
0.15082,0.5,0.356,0
0.15139,0.5,0.357,0
0.15196,0.5,0.358,0
0.15253,0.5,0.359,0
0.15311,0.5,0.36,0
0.15368,0.5,0.361,0
0.15425,0.5,0.362,0
0.15482,0.5,0.363,0
0.1554,0.5,0.364,0
0.15597,0.5,0.365,0
0.15654,0.5,0.366,0
0.15711,0.5,0.367,0
0.15768,0.5,0.368,0
0.15826,0.5,0.369,0
0.15883,0.5,0.37,0
0.1594,0.5,0.371,0
0.15997,0.5,0.372,0
0.16055,0.5,0.373,0
0.16112,0.5,0.374,0
0.16169,0.5,0.375,0
0.16226,0.5,0.376,0
0.16284,0.5,0.377,0
0.16341,0.5,0.378,0
0.16398,0.5,0.379,0
0.16455,0.5,0.38,0
0.16513,0.5,0.381,0
0.1657,0.5,0.382,0
0.16627,0.5,0.383,0
0.16684,0.5,0.384,0
0.16741,0.5,0.385,0
0.16799,0.5,0.386,0
0.16856,0.5,0.387,0
0.16913,0.5,0.388,0
0.1697,0.5,0.389,0
0.17028,0.5,0.39,0
0.17085,0.5,0.391,0
0.17142,0.5,0.392,0
0.17199,0.5,0.393,0
0.17257,0.5,0.394,0
0.17314,0.5,0.395,0
0.17371,0.5,0.396,0
0.17428,0.5,0.397,0
0.17486,0.5,0.398,0
0.17543,0.5,0.399,0
0.176,0.5,0.4,0
0.17674,0.5,0.401,0
0.17748,0.5,0.402,0
0.17822,0.5,0.403,0
0.17896,0.5,0.404,0
0.1797,0.5,0.405,0
0.18044,0.5,0.406,0
0.18118,0.5,0.407,0
0.18192,0.5,0.408,0
0.18266,0.5,0.409,0
0.1834,0.5,0.41,0
0.18414,0.5,0.411,0
0.18488,0.5,0.412,0
0.18562,0.5,0.413,0
0.18636,0.5,0.414,0
0.1871,0.5,0.415,0
0.18784,0.5,0.416,0
0.18858,0.5,0.417,0
0.18932,0.5,0.418,0
0.19006,0.5,0.419,0
0.1908,0.5,0.42,0
0.19154,0.5,0.421,0
0.19228,0.5,0.422,0
0.19302,0.5,0.423,0
0.19376,0.5,0.424,0
0.1945,0.5,0.425,0
0.19524,0.5,0.426,0
0.19598,0.5,0.427,0
0.19672,0.5,0.428,0
0.19746,0.5,0.429,0
0.1982,0.5,0.43,0
0.19894,0.5,0.431,0
0.19968,0.5,0.432,0
0.20042,0.5,0.433,0
0.20116,0.5,0.434,0
0.2019,0.5,0.435,0
0.20264,0.5,0.436,0
0.20338,0.5,0.437,0
0.20412,0.5,0.438,0
0.20486,0.5,0.439,0
0.2056,0.5,0.44,0
0.20634,0.5,0.441,0
0.20708,0.5,0.442,0
0.20782,0.5,0.443,0
0.20856,0.5,0.444,0
0.2093,0.5,0.445,0
0.21004,0.5,0.446,0
0.21078,0.5,0.447,0
0.21152,0.5,0.448,0
0.21226,0.5,0.449,0
0.213,0.5,0.45,0
0.21374,0.5,0.451,0
0.21448,0.5,0.452,0
0.21522,0.5,0.453,0
0.21596,0.5,0.454,0
0.2167,0.5,0.455,0
0.21744,0.5,0.456,0
0.21818,0.5,0.457,0
0.21892,0.5,0.458,0
0.21966,0.5,0.459,0
0.2204,0.5,0.46,0
0.22114,0.5,0.461,0
0.22188,0.5,0.462,0
0.22262,0.5,0.463,0
0.22336,0.5,0.464,0
0.2241,0.5,0.465,0
0.22484,0.5,0.466,0
0.22558,0.5,0.467,0
0.22632,0.5,0.468,0
0.22706,0.5,0.469,0
0.2278,0.5,0.47,0
0.22854,0.5,0.471,0
0.22928,0.5,0.472,0
0.23002,0.5,0.473,0
0.23076,0.5,0.474,0
0.2315,0.5,0.475,0
0.23224,0.5,0.476,0
0.23298,0.5,0.477,0
0.23372,0.5,0.478,0
0.23446,0.5,0.479,0
0.2352,0.5,0.48,0
0.23594,0.5,0.481,0
0.23668,0.5,0.482,0
0.23742,0.5,0.483,0
0.23816,0.5,0.484,0
0.2389,0.5,0.485,0
0.23964,0.5,0.486,0
0.24038,0.5,0.487,0
0.24112,0.5,0.488,0
0.24186,0.5,0.489,0
0.2426,0.5,0.49,0
0.24334,0.5,0.491,0
0.24408,0.5,0.492,0
0.24482,0.5,0.493,0
0.24556,0.5,0.494,0
0.2463,0.5,0.495,0
0.24704,0.5,0.496,0
0.24778,0.5,0.497,0
0.24852,0.5,0.498,0
0.24926,0.5,0.499,0
0.25,0.5,0.5,0
0.25096,0.5,0.501,0
0.25193,0.5,0.502,0
0.25289,0.5,0.503,0
0.25386,0.5,0.504,0
0.25482,0.5,0.505,0
0.25579,0.5,0.506,0
0.25675,0.5,0.507,0
0.25772,0.5,0.508,0
0.25868,0.5,0.509,0
0.25964,0.5,0.51,0
0.26061,0.5,0.511,0
0.26157,0.5,0.512,0
0.26254,0.5,0.513,0
0.2635,0.5,0.514,0
0.26447,0.5,0.515,0
0.26543,0.5,0.516,0
0.2664,0.5,0.517,0
0.26736,0.5,0.518,0
0.26832,0.5,0.519,0
0.26929,0.5,0.52,0
0.27025,0.5,0.521,0
0.27122,0.5,0.522,0
0.27218,0.5,0.523,0
0.27315,0.5,0.524,0
0.27411,0.5,0.525,0
0.27508,0.5,0.526,0
0.27604,0.5,0.527,0
0.277,0.5,0.528,0
0.27797,0.5,0.529,0
0.27893,0.5,0.53,0
0.2799,0.5,0.531,0
0.28086,0.5,0.532,0
0.28183,0.5,0.533,0
0.28279,0.5,0.534,0
0.28375,0.5,0.535,0
0.28472,0.5,0.536,0
0.28568,0.5,0.537,0
0.28665,0.5,0.538,0
0.28761,0.5,0.539,0
0.28858,0.5,0.54,0
0.28954,0.5,0.541,0
0.29051,0.5,0.542,0
0.29147,0.5,0.543,0
0.29243,0.5,0.544,0
0.2934,0.5,0.545,0
0.29436,0.5,0.546,0
0.29533,0.5,0.547,0
0.29629,0.5,0.548,0
0.29726,0.5,0.549,0
0.29822,0.5,0.55,0
0.29919,0.5,0.551,0
0.30015,0.5,0.552,0
0.30111,0.5,0.553,0
0.30208,0.5,0.554,0
0.30304,0.5,0.555,0
0.30401,0.5,0.556,0
0.30497,0.5,0.557,0
0.30594,0.5,0.558,0
0.3069,0.5,0.559,0
0.30787,0.5,0.56,0
0.30883,0.5,0.561,0
0.30979,0.5,0.562,0
0.31076,0.5,0.563,0
0.31172,0.5,0.564,0
0.31269,0.5,0.565,0
0.31365,0.5,0.566,0
0.31462,0.5,0.567,0
0.31558,0.5,0.568,0
0.31655,0.5,0.569,0
0.31751,0.5,0.57,0
0.31847,0.5,0.571,0
0.31944,0.5,0.572,0
0.3204,0.5,0.573,0
0.32137,0.5,0.574,0
0.32233,0.5,0.575,0
0.3233,0.5,0.576,0
0.32426,0.5,0.577,0
0.32523,0.5,0.578,0
0.32619,0.5,0.579,0
0.32715,0.5,0.58,0
0.32812,0.5,0.581,0
0.32908,0.5,0.582,0
0.33005,0.5,0.583,0
0.33101,0.5,0.584,0
0.33198,0.5,0.585,0
0.33294,0.5,0.586,0
0.33391,0.5,0.587,0
0.33487,0.5,0.588,0
0.33583,0.5,0.589,0
0.3368,0.5,0.59,0
0.33776,0.5,0.591,0
0.33873,0.5,0.592,0
0.33969,0.5,0.593,0
0.34066,0.5,0.594,0
0.34162,0.5,0.595,0
0.34259,0.5,0.596,0
0.34355,0.5,0.597,0
0.34451,0.5,0.598,0
0.34548,0.5,0.599,0
0.34644,0.5,0.6,0
0.34768,0.5,0.601,0
0.34892,0.5,0.602,0
0.35016,0.5,0.603,0
0.3514,0.5,0.604,0
0.35264,0.5,0.605,0
0.35388,0.5,0.606,0
0.35512,0.5,0.607,0
0.35636,0.5,0.608,0
0.3576,0.5,0.609,0
0.35884,0.5,0.61,0
0.36008,0.5,0.611,0
0.36132,0.5,0.612,0
0.36256,0.5,0.613,0
0.3638,0.5,0.614,0
0.36504,0.5,0.615,0
0.36628,0.5,0.616,0
0.36752,0.5,0.617,0
0.36876,0.5,0.618,0
0.37,0.5,0.619,0
0.37124,0.5,0.62,0
0.37248,0.5,0.621,0
0.37372,0.5,0.622,0
0.37496,0.5,0.623,0
0.3762,0.5,0.624,0
0.37744,0.5,0.625,0
0.37868,0.5,0.626,0
0.37992,0.5,0.627,0
0.38116,0.5,0.628,0
0.3824,0.5,0.629,0
0.38364,0.5,0.63,0
0.38488,0.5,0.631,0
0.38613,0.5,0.632,0
0.38737,0.5,0.633,0
0.38861,0.5,0.634,0
0.38985,0.5,0.635,0
0.39109,0.5,0.636,0
0.39233,0.5,0.637,0
0.39357,0.5,0.638,0
0.39481,0.5,0.639,0
0.39605,0.5,0.64,0
0.39729,0.5,0.641,0
0.39853,0.5,0.642,0
0.39977,0.5,0.643,0
0.40101,0.5,0.644,0
0.40225,0.5,0.645,0
0.40349,0.5,0.646,0
0.40473,0.5,0.647,0
0.40597,0.5,0.648,0
0.40721,0.5,0.649,0
0.40845,0.5,0.65,0
0.40969,0.5,0.651,0
0.41093,0.5,0.652,0
0.41217,0.5,0.653,0
0.41341,0.5,0.654,0
0.41465,0.5,0.655,0
0.41589,0.5,0.656,0
0.41713,0.5,0.657,0
0.41837,0.5,0.658,0
0.41961,0.5,0.659,0
0.42085,0.5,0.66,0
0.42209,0.5,0.661,0
0.42333,0.5,0.662,0
0.42457,0.5,0.663,0
0.42581,0.5,0.664,0
0.42705,0.5,0.665,0
0.42829,0.5,0.666,0
0.42953,0.5,0.667,0
0.43077,0.5,0.668,0
0.43201,0.5,0.669,0
0.43325,0.5,0.67,0
0.43449,0.5,0.671,0
0.43573,0.5,0.672,0
0.43697,0.5,0.673,0
0.43821,0.5,0.674,0
0.43945,0.5,0.675,0
0.44069,0.5,0.676,0
0.44193,0.5,0.677,0
0.44317,0.5,0.678,0
0.44441,0.5,0.679,0
0.44565,0.5,0.68,0
0.44689,0.5,0.681,0
0.44813,0.5,0.682,0
0.44937,0.5,0.683,0
0.45061,0.5,0.684,0
0.45185,0.5,0.685,0
0.45309,0.5,0.686,0
0.45433,0.5,0.687,0
0.45557,0.5,0.688,0
0.45681,0.5,0.689,0
0.45805,0.5,0.69,0
0.45929,0.5,0.691,0
0.46053,0.5,0.692,0
0.46177,0.5,0.693,0
0.46301,0.5,0.694,0
0.46425,0.5,0.695,0
0.46549,0.5,0.696,0
0.46673,0.5,0.697,0
0.46797,0.5,0.698,0
0.46921,0.5,0.699,0
0.47045,0.5,0.7,0
0.47199,0.5,0.701,0
0.47353,0.5,0.702,0
0.47506,0.5,0.703,0
0.4766,0.5,0.704,0
0.47814,0.5,0.705,0
0.47968,0.5,0.706,0
0.48122,0.5,0.707,0
0.48275,0.5,0.708,0
0.48429,0.5,0.709,0
0.48583,0.5,0.71,0
0.48737,0.5,0.711,0
0.48891,0.5,0.712,0
0.49044,0.5,0.713,0
0.49198,0.5,0.714,0
0.49352,0.5,0.715,0
0.49506,0.5,0.716,0
0.4966,0.5,0.717,0
0.49813,0.5,0.718,0
0.49967,0.5,0.719,0
0.50121,0.5,0.72,0
0.50275,0.5,0.721,0
0.50429,0.5,0.722,0
0.50582,0.5,0.723,0
0.50736,0.5,0.724,0
0.5089,0.5,0.725,0
0.51044,0.5,0.726,0
0.51198,0.5,0.727,0
0.51351,0.5,0.728,0
0.51505,0.5,0.729,0
0.51659,0.5,0.73,0
0.51813,0.5,0.731,0
0.51967,0.5,0.732,0
0.5212,0.5,0.733,0
0.52274,0.5,0.734,0
0.52428,0.5,0.735,0
0.52582,0.5,0.736,0
0.52736,0.5,0.737,0
0.52889,0.5,0.738,0
0.53043,0.5,0.739,0
0.53197,0.5,0.74,0
0.53351,0.5,0.741,0
0.53505,0.5,0.742,0
0.53658,0.5,0.743,0
0.53812,0.5,0.744,0
0.53966,0.5,0.745,0
0.5412,0.5,0.746,0
0.54274,0.5,0.747,0
0.54427,0.5,0.748,0
0.54581,0.5,0.749,0
0.54735,0.5,0.75,0
0.54889,0.5,0.751,0
0.55043,0.5,0.752,0
0.55196,0.5,0.753,0
0.5535,0.5,0.754,0
0.55504,0.5,0.755,0
0.55658,0.5,0.756,0
0.55812,0.5,0.757,0
0.55965,0.5,0.758,0
0.56119,0.5,0.759,0
0.56273,0.5,0.76,0
0.56427,0.5,0.761,0
0.56581,0.5,0.762,0
0.56734,0.5,0.763,0
0.56888,0.5,0.764,0
0.57042,0.5,0.765,0
0.57196,0.5,0.766,0
0.5735,0.5,0.767,0
0.57503,0.5,0.768,0
0.57657,0.5,0.769,0
0.57811,0.5,0.77,0
0.57965,0.5,0.771,0
0.58119,0.5,0.772,0
0.58272,0.5,0.773,0
0.58426,0.5,0.774,0
0.5858,0.5,0.775,0
0.58734,0.5,0.776,0
0.58888,0.5,0.777,0
0.59041,0.5,0.778,0
0.59195,0.5,0.779,0
0.59349,0.5,0.78,0
0.59503,0.5,0.781,0
0.59657,0.5,0.782,0
0.5981,0.5,0.783,0
0.59964,0.5,0.784,0
0.60118,0.5,0.785,0
0.60272,0.5,0.786,0
0.60426,0.5,0.787,0
0.60579,0.5,0.788,0
0.60733,0.5,0.789,0
0.60887,0.5,0.79,0
0.61041,0.5,0.791,0
0.61195,0.5,0.792,0
0.61348,0.5,0.793,0
0.61502,0.5,0.794,0
0.61656,0.5,0.795,0
0.6181,0.5,0.796,0
0.61964,0.5,0.797,0
0.62117,0.5,0.798,0
0.62271,0.5,0.799,0
0.62425,0.5,0.8,0
0.62605,0.5,0.801,0
0.62785,0.5,0.802,0
0.62965,0.5,0.803,0
0.63145,0.5,0.804,0
0.63325,0.5,0.805,0
0.63505,0.5,0.806,0
0.63685,0.5,0.807,0
0.63865,0.5,0.808,0
0.64045,0.5,0.809,0
0.64225,0.5,0.81,0
0.64406,0.5,0.811,0
0.64586,0.5,0.812,0
0.64766,0.5,0.813,0
0.64946,0.5,0.814,0
0.65126,0.5,0.815,0
0.65306,0.5,0.816,0
0.65486,0.5,0.817,0
0.65666,0.5,0.818,0
0.65846,0.5,0.819,0
0.66026,0.5,0.82,0
0.66206,0.5,0.821,0
0.66386,0.5,0.822,0
0.66566,0.5,0.823,0
0.66746,0.5,0.824,0
0.66926,0.5,0.825,0
0.67106,0.5,0.826,0
0.67286,0.5,0.827,0
0.67466,0.5,0.828,0
0.67647,0.5,0.829,0
0.67827,0.5,0.83,0
0.68007,0.5,0.831,0
0.68187,0.5,0.832,0
0.68367,0.5,0.833,0
0.68547,0.5,0.834,0
0.68727,0.5,0.835,0
0.68907,0.5,0.836,0
0.69087,0.5,0.837,0
0.69267,0.5,0.838,0
0.69447,0.5,0.839,0
0.69627,0.5,0.84,0
0.69807,0.5,0.841,0
0.69987,0.5,0.842,0
0.70167,0.5,0.843,0
0.70347,0.5,0.844,0
0.70527,0.5,0.845,0
0.70708,0.5,0.846,0
0.70888,0.5,0.847,0
0.71068,0.5,0.848,0
0.71248,0.5,0.849,0
0.71428,0.5,0.85,0
0.71608,0.5,0.851,0
0.71788,0.5,0.852,0
0.71968,0.5,0.853,0
0.72148,0.5,0.854,0
0.72328,0.5,0.855,0
0.72508,0.5,0.856,0
0.72688,0.5,0.857,0
0.72868,0.5,0.858,0
0.73048,0.5,0.859,0
0.73228,0.5,0.86,0
0.73408,0.5,0.861,0
0.73588,0.5,0.862,0
0.73768,0.5,0.863,0
0.73949,0.5,0.864,0
0.74129,0.5,0.865,0
0.74309,0.5,0.866,0
0.74489,0.5,0.867,0
0.74669,0.5,0.868,0
0.74849,0.5,0.869,0
0.75029,0.5,0.87,0
0.75209,0.5,0.871,0
0.75389,0.5,0.872,0
0.75569,0.5,0.873,0
0.75749,0.5,0.874,0
0.75929,0.5,0.875,0
0.76109,0.5,0.876,0
0.76289,0.5,0.877,0
0.76469,0.5,0.878,0
0.76649,0.5,0.879,0
0.76829,0.5,0.88,0
0.77009,0.5,0.881,0
0.7719,0.5,0.882,0
0.7737,0.5,0.883,0
0.7755,0.5,0.884,0
0.7773,0.5,0.885,0
0.7791,0.5,0.886,0
0.7809,0.5,0.887,0
0.7827,0.5,0.888,0
0.7845,0.5,0.889,0
0.7863,0.5,0.89,0
0.7881,0.5,0.891,0
0.7899,0.5,0.892,0
0.7917,0.5,0.893,0
0.7935,0.5,0.894,0
0.7953,0.5,0.895,0
0.7971,0.5,0.896,0
0.7989,0.5,0.897,0
0.8007,0.5,0.898,0
0.8025,0.5,0.899,0
0.80431,0.5,0.9,0
0.80626,0.5,0.901,0
0.80822,0.5,0.902,0
0.81018,0.5,0.903,0
0.81213,0.5,0.904,0
0.81409,0.5,0.905,0
0.81605,0.5,0.906,0
0.818,0.5,0.907,0
0.81996,0.5,0.908,0
0.82192,0.5,0.909,0
0.82387,0.5,0.91,0
0.82583,0.5,0.911,0
0.82779,0.5,0.912,0
0.82975,0.5,0.913,0
0.8317,0.5,0.914,0
0.83366,0.5,0.915,0
0.83562,0.5,0.916,0
0.83757,0.5,0.917,0
0.83953,0.5,0.918,0
0.84149,0.5,0.919,0
0.84344,0.5,0.92,0
0.8454,0.5,0.921,0
0.84736,0.5,0.922,0
0.84932,0.5,0.923,0
0.85127,0.5,0.924,0
0.85323,0.5,0.925,0
0.85519,0.5,0.926,0
0.85714,0.5,0.927,0
